LONELY_ucla_loneliness_scale_left_out,WELLNESS_life_satisfaction,LONELY_ucla_loneliness_scale_isolated,GEO_rural_urban,DEMO_age,DEMO_household_income,LONELY_ucla_loneliness_scale_companionship
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",26.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",66.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",77.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",54.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",33.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",26.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",32.0,"$10,000 to $14,999",Some of the time
Some of the time,7.0,Some of the time,"Small city/town (1,000-29,999 people)",71.0,"$110,000 to $119,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",58.0,"$200,000 or more",Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",31.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",33.0,"$80,000 to $89,999",Some of the time
Hardly Ever,5.0,Hardly Ever,"Large urban centre (100,000+ people)",32.0,Presented but no response,Hardly Ever
Some of the time,8.0,Some of the time,"Medium city/town (30,000-99,999 people)",32.0,"$160,000 to $169,999",Some of the time
Some of the time,8.0,Some of the time,"Medium city/town (30,000-99,999 people)",64.0,"$35,000 to $39,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",54.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",25.0,"$20,000 to $24,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",52.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",53.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",57.0,Presented but no response,Some of the time
Some of the time,3.0,Some of the time,Rural area (Less than 1000 people),66.0,"$50,000 to $59,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",31.0,"$15,000 to $19,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Hardly Ever,6.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Often
Often,3.0,Often,"Large urban centre (100,000+ people)",45.0,"$25,000 to $29,999",Often
Some of the time,6.0,Some of the time,Rural area (Less than 1000 people),46.0,"$60,000 to $69,999",Some of the time
Often,1.0,Often,"Large urban centre (100,000+ people)",45.0,Presented but no response,Often
Hardly Ever,1.0,Hardly Ever,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Hardly Ever,1.0,Hardly Ever,"Large urban centre (100,000+ people)",30.0,Presented but no response,Hardly Ever
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",48.0,Presented but no response,Some of the time
Hardly Ever,10.0,Hardly Ever,"Large urban centre (100,000+ people)",77.0,"$15,000 to $19,999",Some of the time
Hardly Ever,10.0,Hardly Ever,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Presented but no response,8.0,Some of the time,"Large urban centre (100,000+ people)",35.0,"$50,000 to $59,999",Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",34.0,"$70,000 to $79,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",79.0,"$15,000 to $19,999",Some of the time
Some of the time,6.0,Some of the time,"Medium city/town (30,000-99,999 people)",25.0,"$15,000 to $19,999",Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",78.0,"$30,000 to $34,999",Some of the time
Often,2.0,Often,"Large urban centre (100,000+ people)",45.0,"$50,000 to $59,999",Often
Hardly Ever,9.0,Hardly Ever,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Some of the time,4.0,Some of the time,"Large urban centre (100,000+ people)",60.0,"$70,000 to $79,999",Often
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",70.0,Presented but no response,Some of the time
Some of the time,1.0,Some of the time,"Large urban centre (100,000+ people)",61.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",33.0,"$50,000 to $59,999",Some of the time
Hardly Ever,4.0,Some of the time,"Large urban centre (100,000+ people)",23.0,"Under $5,000",Some of the time
Hardly Ever,7.0,Some of the time,"Large urban centre (100,000+ people)",49.0,"$60,000 to $69,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",62.0,"$90,000 to $99,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",26.0,"$10,000 to $14,999",Some of the time
Some of the time,8.0,Some of the time,"Small city/town (1,000-29,999 people)",45.0,"$40,000 to $44,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",68.0,Presented but no response,Some of the time
Some of the time,5.0,Hardly Ever,"Large urban centre (100,000+ people)",25.0,"$25,000 to $29,999",Hardly Ever
Some of the time,8.0,Some of the time,"Small city/town (1,000-29,999 people)",48.0,"$160,000 to $169,999",Some of the time
Some of the time,3.0,Often,"Large urban centre (100,000+ people)",36.0,"$70,000 to $79,999",Hardly Ever
Some of the time,2.0,Some of the time,"Large urban centre (100,000+ people)",56.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",64.0,"$60,000 to $69,999",Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",63.0,"$10,000 to $14,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",31.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",35.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",23.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",65.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",30.0,"$80,000 to $89,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",71.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",59.0,"$80,000 to $89,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",48.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",25.0,"$15,000 to $19,999",Some of the time
Some of the time,6.0,Often,"Large urban centre (100,000+ people)",53.0,"$45,000 to $49,999",Some of the time
Hardly Ever,9.0,Some of the time,"Large urban centre (100,000+ people)",80.0,Presented but no response,Some of the time
Some of the time,10.0,Some of the time,"Large urban centre (100,000+ people)",39.0,"$20,000 to $24,999",Hardly Ever
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Often
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",73.0,"$30,000 to $34,999",Often
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",18.0,Presented but no response,Some of the time
Hardly Ever,6.0,Some of the time,"Large urban centre (100,000+ people)",23.0,"$70,000 to $79,999",Some of the time
Some of the time,8.0,Some of the time,"Small city/town (1,000-29,999 people)",63.0,"$10,000 to $14,999",Some of the time
Hardly Ever,10.0,Hardly Ever,"Large urban centre (100,000+ people)",25.0,"$15,000 to $19,999",Some of the time
Some of the time,2.0,Often,"Large urban centre (100,000+ people)",38.0,"$20,000 to $24,999",Hardly Ever
Hardly Ever,8.0,Hardly Ever,"Large urban centre (100,000+ people)",31.0,"Under $5,000",Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",61.0,"Under $5,000",Some of the time
Some of the time,2.0,Often,"Large urban centre (100,000+ people)",35.0,"$45,000 to $49,999",Hardly Ever
Some of the time,3.0,Hardly Ever,"Large urban centre (100,000+ people)",32.0,"$25,000 to $29,999",Hardly Ever
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",60.0,"$70,000 to $79,999",Some of the time
Hardly Ever,6.0,Hardly Ever,"Large urban centre (100,000+ people)",23.0,Presented but no response,Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",24.0,"$70,000 to $79,999",Some of the time
Some of the time,8.0,Some of the time,Rural area (Less than 1000 people),53.0,"$200,000 or more",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",61.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",27.0,"$70,000 to $79,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",50.0,"$90,000 to $99,999",Some of the time
Hardly Ever,6.0,Often,"Large urban centre (100,000+ people)",54.0,"$200,000 or more",Hardly Ever
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",39.0,Presented but no response,Some of the time
Some of the time,1.0,Some of the time,"Large urban centre (100,000+ people)",25.0,"$100,000 to $109,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",50.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",35.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",60.0,"$40,000 to $44,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",61.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",62.0,"$50,000 to $59,999",Some of the time
Hardly Ever,10.0,Hardly Ever,"Large urban centre (100,000+ people)",25.0,"$40,000 to $44,999",Hardly Ever
Hardly Ever,6.0,Often,"Large urban centre (100,000+ people)",33.0,"$25,000 to $29,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",18.0,"$45,000 to $49,999",Some of the time
Some of the time,6.0,Some of the time,"Small city/town (1,000-29,999 people)",86.0,"$40,000 to $44,999",Some of the time
Some of the time,8.0,Some of the time,"Small city/town (1,000-29,999 people)",56.0,"$80,000 to $89,999",Some of the time
Some of the time,10.0,Hardly Ever,"Large urban centre (100,000+ people)",39.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Small city/town (1,000-29,999 people)",91.0,"$20,000 to $24,999",Some of the time
Hardly Ever,6.0,Some of the time,"Large urban centre (100,000+ people)",29.0,"$70,000 to $79,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,3.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Some of the time,1.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",25.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Medium city/town (30,000-99,999 people)",25.0,"$35,000 to $39,999",Some of the time
Some of the time,3.0,Some of the time,"Large urban centre (100,000+ people)",58.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",23.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",21.0,"$30,000 to $34,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",73.0,Presented but no response,Some of the time
Hardly Ever,8.0,Hardly Ever,"Large urban centre (100,000+ people)",57.0,"$200,000 or more",Hardly Ever
Hardly Ever,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",49.0,"$180,000 to $189,999",Some of the time
Some of the time,3.0,Some of the time,"Medium city/town (30,000-99,999 people)",57.0,"$30,000 to $34,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",69.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Small city/town (1,000-29,999 people)",70.0,"$70,000 to $79,999",Some of the time
Hardly Ever,3.0,Often,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Hardly Ever,5.0,Hardly Ever,"Large urban centre (100,000+ people)",65.0,"$35,000 to $39,999",Some of the time
Some of the time,4.0,Some of the time,"Large urban centre (100,000+ people)",69.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",52.0,"$80,000 to $89,999",Some of the time
Some of the time,2.0,Some of the time,"Large urban centre (100,000+ people)",25.0,"$40,000 to $44,999",Some of the time
Some of the time,2.0,Some of the time,"Medium city/town (30,000-99,999 people)",50.0,"$45,000 to $49,999",Some of the time
Some of the time,7.0,Some of the time,"Small city/town (1,000-29,999 people)",63.0,"$120,000 to $129,999",Some of the time
Often,7.0,Often,"Large urban centre (100,000+ people)",39.0,"$170,000 to $179,999",Often
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,5.0,Often,"Large urban centre (100,000+ people)",45.0,Presented but no response,Often
Often,1.0,Often,"Large urban centre (100,000+ people)",57.0,"$90,000 to $99,999",Often
Often,2.0,Often,"Large urban centre (100,000+ people)",45.0,Presented but no response,Often
Often,2.0,Often,"Large urban centre (100,000+ people)",45.0,Presented but no response,Often
Hardly Ever,6.0,Some of the time,"Large urban centre (100,000+ people)",25.0,"$80,000 to $89,999",Hardly Ever
Some of the time,4.0,Some of the time,"Large urban centre (100,000+ people)",34.0,"$35,000 to $39,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",69.0,Presented but no response,Some of the time
Some of the time,1.0,Some of the time,"Large urban centre (100,000+ people)",36.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",28.0,"$45,000 to $49,999",Some of the time
Often,6.0,Often,"Large urban centre (100,000+ people)",71.0,"$60,000 to $69,999",Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",25.0,"$45,000 to $49,999",Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",69.0,"$35,000 to $39,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",27.0,"$60,000 to $69,999",Hardly Ever
Some of the time,4.0,Some of the time,"Medium city/town (30,000-99,999 people)",28.0,"$25,000 to $29,999",Some of the time
Some of the time,9.0,Some of the time,"Small city/town (1,000-29,999 people)",62.0,"$50,000 to $59,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",60.0,"$5,000 to $9,999",Some of the time
Often,6.0,Often,"Large urban centre (100,000+ people)",45.0,Presented but no response,Often
Hardly Ever,8.0,Hardly Ever,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",51.0,"$150,000 to $159,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Hardly Ever,5.0,Hardly Ever,"Large urban centre (100,000+ people)",28.0,"$50,000 to $59,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",26.0,"$30,000 to $34,999",Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",65.0,Presented but no response,Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",36.0,Presented but no response,Some of the time
Some of the time,4.0,Some of the time,"Small city/town (1,000-29,999 people)",64.0,"$140,000 to $149,999",Some of the time
Some of the time,4.0,Some of the time,Presented but no response,66.0,Presented but no response,Some of the time
Hardly Ever,3.0,Some of the time,"Large urban centre (100,000+ people)",20.0,"$35,000 to $39,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",66.0,"$30,000 to $34,999",Some of the time
Hardly Ever,9.0,Some of the time,"Large urban centre (100,000+ people)",66.0,"$200,000 or more",Some of the time
Some of the time,10.0,Hardly Ever,"Large urban centre (100,000+ people)",30.0,"$90,000 to $99,999",Often
Some of the time,2.0,Some of the time,"Large urban centre (100,000+ people)",53.0,"$25,000 to $29,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",40.0,"$160,000 to $169,999",Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",62.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",65.0,"$20,000 to $24,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",62.0,Presented but no response,Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",70.0,"$120,000 to $129,999",Some of the time
Some of the time,5.0,Some of the time,"Medium city/town (30,000-99,999 people)",57.0,"$45,000 to $49,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",31.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",63.0,Presented but no response,Some of the time
Hardly Ever,7.0,Hardly Ever,"Large urban centre (100,000+ people)",62.0,"$70,000 to $79,999",Hardly Ever
Some of the time,1.0,Some of the time,"Large urban centre (100,000+ people)",33.0,"$30,000 to $34,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",35.0,Presented but no response,Some of the time
Hardly Ever,5.0,Some of the time,"Large urban centre (100,000+ people)",29.0,"$60,000 to $69,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",25.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",51.0,"$30,000 to $34,999",Hardly Ever
Some of the time,4.0,Some of the time,"Large urban centre (100,000+ people)",30.0,"$70,000 to $79,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",22.0,"$50,000 to $59,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",18.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,9.0,Some of the time,"Small city/town (1,000-29,999 people)",63.0,"$120,000 to $129,999",Some of the time
Some of the time,4.0,Some of the time,"Large urban centre (100,000+ people)",30.0,"$30,000 to $34,999",Some of the time
Hardly Ever,10.0,Some of the time,"Large urban centre (100,000+ people)",31.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,Rural area (Less than 1000 people),46.0,"$50,000 to $59,999",Some of the time
Often,6.0,Hardly Ever,"Large urban centre (100,000+ people)",28.0,"$70,000 to $79,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",86.0,"$50,000 to $59,999",Some of the time
Some of the time,9.0,Some of the time,Rural area (Less than 1000 people),84.0,"$20,000 to $24,999",Some of the time
Often,2.0,Often,"Large urban centre (100,000+ people)",59.0,"$45,000 to $49,999",Often
Some of the time,10.0,Some of the time,"Large urban centre (100,000+ people)",57.0,Presented but no response,Some of the time
Some of the time,3.0,Some of the time,"Large urban centre (100,000+ people)",60.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",28.0,"$110,000 to $119,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",30.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",68.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",75.0,"$30,000 to $34,999",Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",66.0,"$35,000 to $39,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",30.0,Presented but no response,Some of the time
Some of the time,4.0,Often,"Large urban centre (100,000+ people)",39.0,"$50,000 to $59,999",Often
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",26.0,"$10,000 to $14,999",Some of the time
Often,7.0,Hardly Ever,"Large urban centre (100,000+ people)",28.0,"$120,000 to $129,999",Some of the time
Some of the time,3.0,Some of the time,"Medium city/town (30,000-99,999 people)",64.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",26.0,"$5,000 to $9,999",Some of the time
Some of the time,4.0,Some of the time,"Large urban centre (100,000+ people)",22.0,"$10,000 to $14,999",Some of the time
Hardly Ever,2.0,Some of the time,"Large urban centre (100,000+ people)",32.0,"$70,000 to $79,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Often,5.0,Often,"Large urban centre (100,000+ people)",53.0,"$40,000 to $44,999",Often
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",49.0,"$100,000 to $109,999",Often
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",39.0,Presented but no response,Some of the time
Some of the time,3.0,Some of the time,"Large urban centre (100,000+ people)",51.0,"$15,000 to $19,999",Some of the time
Hardly Ever,9.0,Hardly Ever,"Large urban centre (100,000+ people)",38.0,"$180,000 to $189,999",Hardly Ever
Hardly Ever,6.0,Some of the time,"Large urban centre (100,000+ people)",26.0,"$10,000 to $14,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",64.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",27.0,Presented but no response,Some of the time
Hardly Ever,8.0,Some of the time,"Large urban centre (100,000+ people)",35.0,"$50,000 to $59,999",Some of the time
Some of the time,2.0,Some of the time,"Large urban centre (100,000+ people)",51.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",37.0,"$180,000 to $189,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",50.0,Presented but no response,Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",73.0,"$60,000 to $69,999",Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",31.0,Presented but no response,Hardly Ever
Hardly Ever,7.0,Hardly Ever,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Some of the time,8.0,Some of the time,"Medium city/town (30,000-99,999 people)",62.0,"$10,000 to $14,999",Some of the time
Hardly Ever,8.0,Often,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Hardly Ever,7.0,Often,"Large urban centre (100,000+ people)",32.0,"$15,000 to $19,999",Hardly Ever
Some of the time,8.0,Hardly Ever,"Large urban centre (100,000+ people)",40.0,"$120,000 to $129,999",Hardly Ever
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",58.0,"$90,000 to $99,999",Some of the time
Some of the time,3.0,Some of the time,"Large urban centre (100,000+ people)",28.0,"$80,000 to $89,999",Some of the time
Hardly Ever,8.0,Hardly Ever,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Hardly Ever,5.0,Hardly Ever,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Hardly Ever,10.0,Hardly Ever,"Large urban centre (100,000+ people)",52.0,"$110,000 to $119,999",Hardly Ever
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",48.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",31.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",25.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",74.0,Presented but no response,Some of the time
Some of the time,2.0,Some of the time,"Medium city/town (30,000-99,999 people)",29.0,"$35,000 to $39,999",Some of the time
Often,4.0,Often,"Large urban centre (100,000+ people)",64.0,"$10,000 to $14,999",Often
Hardly Ever,4.0,Hardly Ever,"Large urban centre (100,000+ people)",29.0,"$60,000 to $69,999",Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",65.0,"$45,000 to $49,999",Some of the time
Some of the time,1.0,Some of the time,"Large urban centre (100,000+ people)",29.0,"$15,000 to $19,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",36.0,"$60,000 to $69,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",66.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",84.0,Presented but no response,Some of the time
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",65.0,"$45,000 to $49,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",61.0,"$90,000 to $99,999",Some of the time
Some of the time,1.0,Some of the time,"Large urban centre (100,000+ people)",54.0,Presented but no response,Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",75.0,"$25,000 to $29,999",Some of the time
Some of the time,4.0,Some of the time,"Small city/town (1,000-29,999 people)",53.0,"$45,000 to $49,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",70.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",37.0,"$80,000 to $89,999",Some of the time
Some of the time,6.0,Some of the time,"Large urban centre (100,000+ people)",80.0,"$25,000 to $29,999",Some of the time
Some of the time,9.0,Some of the time,Rural area (Less than 1000 people),71.0,"$90,000 to $99,999",Some of the time
Some of the time,7.0,Some of the time,"Medium city/town (30,000-99,999 people)",43.0,"$90,000 to $99,999",Some of the time
Some of the time,7.0,Some of the time,Rural area (Less than 1000 people),61.0,"$60,000 to $69,999",Some of the time
Some of the time,3.0,Some of the time,"Large urban centre (100,000+ people)",65.0,"$15,000 to $19,999",Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",56.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",31.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Medium city/town (30,000-99,999 people)",32.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",45.0,Presented but no response,Hardly Ever
Some of the time,5.0,Some of the time,"Large urban centre (100,000+ people)",28.0,"$30,000 to $34,999",Some of the time
Some of the time,6.0,Some of the time,"Small city/town (1,000-29,999 people)",34.0,"$80,000 to $89,999",Some of the time
Some of the time,9.0,Some of the time,"Large urban centre (100,000+ people)",49.0,Presented but no response,Some of the time
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",69.0,"$90,000 to $99,999",Some of the time
Some of the time,8.0,Some of the time,"Large urban centre (100,000+ people)",27.0,"$50,000 to $59,999",Some of the time
Some of the time,6.0,Some of the time,Rural area (Less than 1000 people),33.0,"$200,000 or more",Some of the time
Often,2.0,Often,"Large urban centre (100,000+ people)",63.0,"$35,000 to $39,999",Often
Hardly Ever,8.0,Hardly Ever,"Large urban centre (100,000+ people)",60.0,"$30,000 to $34,999",Hardly Ever
Some of the time,7.0,Some of the time,"Large urban centre (100,000+ people)",67.0,Presented but no response,Some of the time
